73,600
16,300
28,300
27,900
31,600
14,200
24,400
39,300
10,700
13,100
23,300
29,200
10,300
79,700
16,300
10,200
137,600
12,400
13,400
80,700
18,200
70,1000
10,400
16,900
87,400
12,100
39,500
21,500
15,500
42,900
10,600
57,900
11,100
11,300
40,600
23,300
12,100
23,200
20,700
61,900
13,100
21,800
16,400
26,400
23,700
171,800
13,1000
74,800
45,500
25,800
14,300
70,1000
49,400
17,700
21,300
16,100
11,100
30,700
49,400
73,900
19,200
12,500
30,800
30,300
53,300
48,800
17,500
56,500
12,800
22,400
78,600
15,600
14,200
10,100
11,300
67,700
21,200
21,400
78,600
28,900
22,300
16,400
39,400
47,600
15,100
13,700
21,200
17,300
17,400
31,200
36,700
33,900
17,500
29,300
29,700
15,100
13,200
18,300
14,400
10,200
59,300
45,1000
18,300
61,600
41,700
10,300
18,100
29,400
10,300
32,300
10,400
20,200
52,500
12,500
52,1000
20,200
17,200
39,500
22,200
37,600
21,600
15,300
35,900
40,200
36,300
18,500
29,700
51,600
